solver,hc_simple,hc_gaussian_1,hc_gaussian_2,hc_simple_cc,sage
graph0305.hcp,6.472,8.071,8.006,35.685,48.340
graph0306.hcp,.551,.557,.554,2.374,280.180
graph0307.hcp,.676,.705,.692,190.790,*
graph0308.hcp,.585,.618,.609,149.167,*
graph0309.hcp,.616,.685,.677,153.506,*
graph0310.hcp,.740,.807,.781,244.228,*
graph0311.hcp,17.819,24.159,15.005,51.433,*
graph0312.hcp,25.398,28.460,28.672,49.207,56.750
graph0313.hcp,32.917,37.474,25.200,41.655,*
graph0314.hcp,19.500,22.904,23.199,47.142,64.310
graph0316.hcp,4.193,4.485,3.592,*,*
graph0317.hcp,35.488,43.400,29.766,50.175,*
graph0318.hcp,23.193,26.564,26.567,62.149,67.950
graph0319.hcp,5.288,5.797,4.509,*,*
graph0320.hcp,.765,.847,.823,184.993,*
graph0321.hcp,1.237,1.273,1.153,62.453,*
graph0322.hcp,4.028,4.595,3.123,57.912,*
graph0324.hcp,.296,.297,.297,2.045,229.530
graph0325.hcp,4.968,5.219,5.227,57.325,*
graph0326.hcp,24.320,29.174,29.111,40.492,170.310
graph0327.hcp,7.435,8.726,6.992,60.671,*
graph0329.hcp,9.122,10.884,10.919,46.106,70.430
graph0332.hcp,23.540,24.439,17.396,51.530,*
graph0333.hcp,3.525,3.736,2.993,*,*
graph0334.hcp,23.565,25.550,25.617,66.786,106.620
graph0337.hcp,.890,.979,.958,215.076,*
graph0338.hcp,.589,.662,.639,265.204,*
graph0339.hcp,18.926,22.710,15.289,57.100,*
graph0341.hcp,20.781,28.672,28.674,43.820,110.120
graph0342.hcp,.305,.308,.307,2.009,3.150
graph0343.hcp,4.819,5.213,4.003,*,*
graph0344.hcp,.580,.653,.641,249.341,*
graph0345.hcp,.576,.639,.624,292.825,*
graph0346.hcp,10.687,16.608,9.580,55.698,*
graph0347.hcp,6.128,7.566,7.510,52.141,70.050
graph0348.hcp,17.827,20.339,13.234,63.154,*
graph0349.hcp,19.488,20.943,21.179,41.496,70.110
graph0350.hcp,5.819,6.873,4.719,55.060,*
graph0351.hcp,.707,.759,.730,243.347,*
graph0352.hcp,19.242,24.461,24.398,48.432,88.360
graph0353.hcp,.340,.339,.338,2.305,8.050
graph0354.hcp,.877,.858,.843,235.303,*
graph0355.hcp,31.614,37.982,26.279,47.184,*
graph0356.hcp,7.253,8.312,8.350,47.349,326.410
graph0357.hcp,21.125,25.117,15.531,65.843,*
graph0358.hcp,4.552,4.380,4.388,74.780,*
